City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
553,Sao Filipe,CV,75.63,overcast clouds,14.8961,-24.4956,Hotel Xaguate
555,Aracaju,BR,78.75,broken clouds,-10.9111,-37.0717,HOTEL FÊNIX
557,Kawalu,ID,75.51,overcast clouds,-7.3817,108.2082,West Jontor
563,Tibu,CO,74.32,overcast clouds,8.639,-72.7358,Hotel Yuliana's
564,Orikum,AL,76.35,broken clouds,40.3253,19.4714,Hotel Denta
566,Banda Aceh,ID,83.07,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
567,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
569,Jinchang,CN,73.45,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
571,Dawei,MM,83.34,overcast clouds,14.0833,98.2,Hotel Dawei
573,Kathmandu,NP,71.82,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
575,Karratha,AU,74.98,clear sky,-20.7377,116.8463,ibis Styles Karratha
576,Katsuura,JP,80.62,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
578,Fare,PF,76.12,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
580,Eyl,SO,76.41,broken clouds,7.9803,49.8164,Amiin Hotel
581,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
584,Vanimo,PG,81.63,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
586,Kutum,SD,75.27,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
587,Kailua,US,84.18,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
589,Cairns,AU,80.11,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
590,Pallapatti,IN,77.32,haze,11.6593,78.1342,Hotel Laila palace
593,Yafran,LY,72.05,clear sky,32.0633,12.5286,بيوت الشباب بيفرن
596,Srandakan,ID,81.14,clear sky,-7.9386,110.2506,Puri Brata
601,Ponta Delgada,PT,72.32,broken clouds,37.7333,-25.6667,Vila Nova Hotel
603,Sao Joao Da Barra,BR,70.68,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
605,Booue,GA,73.04,overcast clouds,-0.0921,11.9385,Splendeur de l'équateur
606,Iracoubo,GF,78.91,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
607,Methoni,GR,75.06,clear sky,36.8197,21.7049,Methoni Beach Hotel
610,Toccoa,US,73.06,scattered clouds,34.5773,-83.3324,Quality Inn
612,Tianpeng,CN,73.87,overcast clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
613,Carutapera,BR,74.03,scattered clouds,-1.195,-46.02,Lidera
614,Little Current,CA,75.25,clear sky,45.9793,-81.9248,Hawberry Motel
617,Natal,BR,75.42,light rain,-5.795,-35.2094,Villa Park Hotel | Natal
620,Aktau,KZ,77.58,clear sky,43.65,51.2,Silk Way Hotel
621,Mayo,US,78.94,clear sky,38.8876,-76.5119,Resorts Resource Group International
622,Minot,US,84.31,clear sky,48.2325,-101.2963,Noble Inn
627,Pangai,TO,77.11,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
628,Alpena,US,76.1,clear sky,45.0617,-83.4327,Days Inn by Wyndham Alpena
631,Jati,PK,82.99,overcast clouds,24.3539,68.2671,Cafe Lala Rehan Restaurant
632,Harper,LR,74.23,overcast clouds,4.375,-7.7169,Screensaver
633,Rantepao,ID,77.94,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
634,Kudahuvadhoo,MV,82.38,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
638,Mozarlandia,BR,71.91,clear sky,-14.7447,-50.5706,Hotel Santa Mônica
641,Invermere,CA,74.71,scattered clouds,50.5167,-116.0354,Copper Point Resort
643,Sorong,ID,80.4,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
646,Pauini,BR,79.38,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
650,Pasni,PK,83.12,overcast clouds,25.2631,63.471,Kashmiri Hotal
651,Bongaree,AU,70.21,broken clouds,-27.0797,153.1586,The Gums Anchorage
655,Kota Belud,MY,83.7,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
657,Kigorobya,UG,70.09,overcast clouds,1.6162,31.3089,Docs sports lounge
659,Antigonish,CA,71.02,overcast clouds,45.6169,-61.9986,Claymore Inn and Suites
662,Tongliao,CN,78.94,broken clouds,43.6125,122.2653,Meirujia Hotel
664,Gizo,SB,84.52,broken clouds,-8.103,156.8419,Imagination Island
667,Dharchula,IN,74.84,broken clouds,29.85,80.5333,Mahara Hotel
668,Yakeshi,CN,73.51,overcast clouds,49.2833,120.7333,Longhua Hotel
669,Hobyo,SO,74.66,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
670,Great Yarmouth,GB,71.42,broken clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
673,Noumea,NC,73.99,light rain,-22.2763,166.4572,Hôtel Le Lagon
674,Kalmunai,LK,82.51,broken clouds,7.4167,81.8167,VS Villa
675,Wayland,US,76.44,overcast clouds,42.3626,-71.3615,Inn On The Horse Farm
678,Pitimbu,BR,73.99,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
680,Granada,ES,70.3,clear sky,37.25,-3.25,CORTIJO EL AVELLANO
681,Buraydah,SA,82.85,clear sky,26.326,43.975,Mövenpick Qassim
683,Tecoanapa,MX,81.27,overcast clouds,16.5167,-98.75,Hotel Manglares
685,Ugoofaaru,MV,82.06,overcast clouds,5.6667,73.0,Ungoofaaru Inn
689,Blind River,CA,71.71,clear sky,46.1834,-82.9582,Auberge Eldo Inn
690,Bilimora,IN,80.51,overcast clouds,20.7672,72.9693,Hotel Amardeep Inn Guest House
693,Bankura,IN,84.29,overcast clouds,23.25,87.0667,Hotel Priyadarsini
694,Tortoli,IT,76.82,clear sky,39.9256,9.6572,Hotel La Bitta
696,Atherton,GB,78.26,overcast clouds,53.5237,-2.4935,The Mercury Motel
697,Cao Bang,VN,84.67,overcast clouds,22.6667,106.25,khách sạn 88
699,Dakar,SN,81.48,broken clouds,14.6937,-17.4441,Novotel Dakar
702,Sakaiminato,JP,78.78,light intensity shower rain,35.55,133.2333,Italian pasley
705,Basoko,CD,70.02,light rain,1.2391,23.616,Jackyna Hotel
706,Xinzhou,CN,77.81,overcast clouds,38.4092,112.7333,Shell Hotel - Xinzhou
707,Uthal,PK,82.53,overcast clouds,25.8072,66.6219,Al-Mustafa Hotel
